"DateTime","Australia","Brazil","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Netherlands","Norway","Philippines","Saudi Arabia","Singapore","South Korea","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-02-21 23:51:40",,,,,,,,,,,,,,,,,,,,51
"2020-02-24 23:51:40",,,,67,,,,,,,80,,,80,,,,72,,,,,,,72
"2020-02-25 23:51:40",,,,,,,,,66,,,,,,,,,,,,,,,59
"2020-02-28 23:51:40",,,,,,,,,,,,,,,,,,,,54
"2020-03-01 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,,24
"2020-03-02 23:51:40",,,,68,,,,,,,82,,,81,,,,73,,,,,,,76,,,34
"2020-03-03 23:51:40",,,,,,,,,63,,,,,,,,,,,,,,,58
"2020-03-04 23:51:40",,,,,,,,21
"2020-03-06 23:51:40",,,,,,,,,,,,,,,,,,,,57
"2020-03-08 23:51:40",36
"2020-03-09 23:51:40",,,,68,,,,,,,72,,,83,,,,69,,,,,,,82
"2020-03-10 23:51:40",,,,,,,30,,65,,,,,,,,,,,,,,,60
"2020-03-11 23:51:40",,,,,,,,,,,,67
"2020-03-12 23:51:40",,,,,,,,,,,,,,,,,,,,,,38
"2020-03-13 23:51:40",,,,,,,38,,,,,,,,,,,,,58,,,,,,,38
"2020-03-15 23:51:40",35
"2020-03-16 23:51:40",,,,66,40,27,,37,,53,73,,,83,,,41,75,,,,,30,,77
"2020-03-17 23:51:40",,,45,,,,,,65,,,,66,,29,,,,,,,,,63,,,,41
"2020-03-18 23:51:40",,,,,,,,,,,,,,,,,,,64,,,,,,,61
"2020-03-19 23:51:40",,,,,,,,,,,,74,,,,,,,,,,44
"2020-03-20 23:51:40",,,,,,,61,,,54,,,,,,,,,,61,,,,,,,48
"2020-03-22 23:51:40",47
"2020-03-23 23:51:40",,,55,69,40,27,,49,,,78,,,90,39,,42,81,,,,,30,,80,,,52,78
"2020-03-24 23:51:40",,,,,,,,,68,,,,63,,,,,,,,,,,63
"2020-03-25 23:51:40",,,,,,,,,,,,72,,,,,,,71,,,50,,,,66
"2020-03-27 23:51:40",,,,,,,68,,,64,,,,,,,,,,67,,,,,,,61
"2020-03-29 23:51:40",60,,,,42,39,,,,,,,,,,,48,,,,,,31
"2020-03-30 23:51:40",,,66,67,,,,48,,,85,,70,90,35,,,80,,,,,,,82,,,60,89
"2020-03-31 23:51:40",,,,,,,,,67,,,,,,,,,,,,,,,68
"2020-04-01 23:51:40",,,,,,,,,,,,,,,,,,,73,,,,,,,72
"2020-04-02 23:51:40",,,,,,,,,,,,75,,,,,,,,,,48
"2020-04-03 23:51:40",,,,,,,67,,,65,,,,,,,,,,73,,,,,,,56
"2020-04-05 23:51:40",53,,,,53,42,,,,,,,,,,,38,,,,,,47
"2020-04-06 23:51:40",,,69,68,,,,47,,,75,,85,89,45,,,82,,,,,,,81,,,60,88
"2020-04-07 23:51:40",,,,,,,,,69,,,,,,,,,,71,,,,,72,,68
"2020-04-08 23:51:40",,,,,,,,,,,,,,,,,,,,,,49
"2020-04-09 23:51:40",,,,,,,,,,,,71
"2020-04-10 23:51:40",,,,,,,67,,,64,,,,,,,,,,71
"2020-04-12 23:51:40",55,,,,44,38,,,,,,,,,,,47,,,,,,53
"2020-04-13 23:51:40",,,60,68,,,,44,,,78,,87,86,45,,,80,,,,,,,81,,,59,89
"2020-04-14 23:51:40",,,,,,,,,66,,,,,,,,,,75,,,,,70,,72,60
"2020-04-16 23:51:40",,,,,,,,,,,,72,,,,,,,,,,45
"2020-04-17 23:51:40",,,,,,,64,,,57,,,,,,,,,,71,,,,,,,56
"2020-04-19 23:51:40",49,,,,47,32,,,,,,,,,,,48,,,,,,46
"2020-04-20 23:51:40",,,65,69,,,,44,,,77,,86,85,46,,,82,,,,,,,79,,,60,86
"2020-04-21 23:51:40",,,,,,,,,65,,,,,,,,,,,,,,,68
"2020-04-22 23:51:40",,,,,,,,,,,,,,,,,,,76,,,,,,,73
"2020-04-23 23:51:40",,,,,,,,,,,,67,,,,,,,,,,46
"2020-04-24 23:51:40",,,,,,,59,,,62,,,,,,,,,,69,,,,,,,54
"2020-04-26 23:51:40",48,,,,40,24,,,,,,,,,,,47,,,,,,47
"2020-04-27 23:51:40",,,59,67,,,,43,,,77,,88,87,45,,,82,,,,,,,77,,,57,90
"2020-04-28 23:51:40",,,,,,,,,67,,,,,,,,,,,,,,,68
"2020-04-29 23:51:40",,,,,,,,,,,,,,,,,,,75,,,,,,,73
"2020-04-30 23:51:40",,,,,,,,,,,,69,,,,,,,,,,45
"2020-05-01 23:51:40",,,,,,,63,,,62,,,,,,,,,,71,,,,,,,55
"2020-05-02 23:51:40",,76
"2020-05-03 23:51:40",44,,,,37,32,,,,,,,,,,,41,,,,76,,50
"2020-05-04 23:51:40",,,,66,,,,40,,,83,,86,85,,,,83,72,,,,,,76,70,,,89
"2020-05-05 23:51:40",,,,,,,,,61,,,,,,,,,,,,,,,65
"2020-05-06 23:51:40",37
"2020-05-07 23:51:40",,,,57,,,55,,,47,,61,,,,,,,,,,57,,,,,49
"2020-05-13 23:51:40",,,,,,,,,,,,62,,,,,,,,,,59
"2020-05-14 23:51:40",,,,59,39,,57,34,,,81,,,79,,,,86,,,,,42,54,64,,,,81
"2020-05-15 23:51:40",,,,,,,,,,49,,,,,,,39,,62,,,,,,,,50
"2020-05-16 23:51:40",37,,48
"2020-05-17 23:51:40",,,,,,,,,63
"2020-05-19 23:51:40",,,,,,,,,,,,,77
"2020-05-20 23:51:40",,,,,,,56
"2020-05-21 23:51:40",,80,,,,,,,,,,,,,,28,,,,,80,,,,,,53
"2020-05-22 23:51:40",41,,,,,,,,,,87,,,,,,,,,67,,,,,,,45
"2020-05-25 23:51:40",,,,,34,,,35,58,,,,,88,,,33,85,,,,,44,58,71
"2020-05-26 23:51:40",,,54,62,,,,,,,,58,,,,,,,,,,,,,,,,55,81
"2020-05-27 23:51:40",,,,,,,53,,,,,,,,,,,,,,,,,,,,47
"2020-05-28 23:51:40",,,,57,37,,50,,,,,,,,,,36,,64,61,,56,,,62,62
"2020-05-29 23:51:40",,,50,,,,,31,,,,56,,,45,,,80
"2020-05-30 23:51:40",,,,,,26,,,,,83,,,81,,,,,,,,,43,,,,48,,76
"2020-06-01 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,,,54
"2020-06-02 23:51:40",,,,,,,,,,,,58
"2020-06-03 23:51:40",,,,,,,,,,49,,,,,,,,,70,,,,,,,63
"2020-06-04 23:51:40",35,,,,,,51,,,,,,,,,,,,,,,,,54
"2020-06-05 23:51:40",37,,,,,,,,,,,,,,,,,,,68,,,,,,,47
"2020-06-07 23:51:40",,,,,,,,,,,,,,,,,31
"2020-06-08 23:51:40",,,,59,,,,,59,,83,,,85,,,,81,,,,37,,49,70,,,50,79
"2020-06-09 23:51:40",,,,,,,,,,,,,,,,,,,,,,,44,,,,45
"2020-06-10 23:51:40",39,,,54,34,25,47,31,,53,81,52,,78,,,35,,73,60,,,48,53,62,63,,,77
"2020-06-11 23:51:40",,,49,,,,,,,,,,,,50
"2020-06-12 23:51:40",,,,,,,46,,,,,,,,,,,,,,,42
"2020-06-15 23:51:40",,,,,,,,,,,,,,,,30,,,,,,,,,,,,55
"2020-06-16 23:51:40",,,,,,,,,,,,,,,,,,,,,,,45,,,,48
"2020-06-17 23:51:40",,,,,,,51,,,,,56,75,,,,,,68,,72,,,,,63,48
"2020-06-18 23:51:40",,,,,34,,,34
"2020-06-19 23:51:40",41,,,,,,,,,,,,,,,,,,,68
"2020-06-20 23:51:40",,,,,,22
"2020-06-21 23:51:40",,,,,,,,,,,,,,,,,,,,,,41
"2020-06-22 23:51:40",,,,61,,,,,57,,83,,,86,,,,83,,,,,,52,69,,,55,77
"2020-06-23 23:51:40",,,,,,,,,,,,52
"2020-06-24 23:51:40",,,,50,36,,51,,,,,,,,,,,,,,,58
"2020-06-25 23:51:40",,,,,,25,,33,,53,84,52,,,,31,,,64,,,44,46,52,,60,45,,78
"2020-06-26 23:51:40",40,,53,,,,,,,,,,,80,51,,,80,,,,,,,58
"2020-06-29 23:51:40",,70,,,,,,,,,,,,,,,,,,,72
"2020-07-01 23:51:40",,,,,,,48
"2020-07-02 23:51:40",,,,,,,,36
"2020-07-03 23:51:40",45,,,,,,,,,,,,,,,,,,,,,,,,,,48
"2020-07-05 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,64
"2020-07-06 23:51:40",,,,57,,,,,54,,84,,,86,,,,82,,,,,,52,65,,,58,76
"2020-07-07 23:51:40",,,54,,,,,,,,,56,,,,,,,,69
"2020-07-08 23:51:40",,,,,39,,,,,,,52,,,,,,83
"2020-07-09 23:51:40",45,,,,,,48,35,,50,,,,,,,,,,,,44,,,,,,,77
"2020-07-10 23:51:40",,,,,,,,,,,80,,,80,,,,,,65,,,,,59
"2020-07-11 23:51:40",,,,,,24
"2020-07-12 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,,48
"2020-07-13 23:51:40",,,,,,,,,,,,,,,,,,,69,,,,,,,65
"2020-07-14 23:51:40",,,,,,,,,,,,58,,,,,,,,,,,,,,,,58
"2020-07-16 23:51:40",,,,,,,56,35,,,,,,,,,,,,,,43
"2020-07-20 23:51:40",,,,56,,,,,,,83,,,83,,,,78,,69,,,,51,70,,,58,75
"2020-07-21 23:51:40",,,55,,,,,,66,,,59,,,,,,,,,,,,,,61
"2020-07-22 23:51:40",,,,,,,56
"2020-07-23 23:51:40",,,,,,,,,,64,,,,,,,,,,,,44
"2020-07-26 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,,44
"2020-07-27 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,,,58
"2020-07-28 23:51:40",,,,,,,,,,,,61
"2020-07-29 23:51:40",,,,,,,,,,,,,,,,,,,67,,,,,,,62
"2020-07-30 23:51:40",,,,,,,,40,,,,,,,,,,,,,,45
"2020-07-31 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,,49
"2020-08-02 23:51:40",52,,,,,,,,,59
"2020-08-03 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,,,,57